date,source_script,lesson,category,applicability,notes
2026-04-04,Batch 1 VIX scripts,5 of 8 VIX scripts are MA crossover variants - the core concept is identical only confirmation layers differ,Pattern Recognition,All VIX-based filters,Pick ONE VIX MA cross method and stick with it. VIX SMA(5) is simplest.
2026-04-04,CM_Williams_Vix_Fix,Synthetic VIX from price (Williams VIX Fix) eliminates data dependency entirely - clever approach for when external data is unreliable or unavailable,Data Independence,All strategies,Consider building price-only versions of all VIX-dependent signals.
2026-04-04,VIX Rule of 16,VIX/15.87 gives you expected daily move in percent - this is the same as ATM IV / sqrt(252). A fundamental quant concept hidden in a simple indicator.,Volatility Math,Strike selection across all strategies,We should compute this daily and use for ALL strike selection decisions.
2026-04-04,VIX Curve Pro,Term structure (contango vs backwardation) is a fundamentally different signal from VIX level. A VIX of 20 in contango is very different from VIX 20 in backwardation.,Regime Detection,All strategies,VIX9D/VIX ratio is our most actionable new signal. Implement immediately.
2026-04-04,VIX Option Hedge Monitor,Monitoring VIX OPTION behavior (not just VIX level) is a leading indicator. Option-on-option sentiment reveals institutional hedging before the move happens.,Sentiment/Leading Indicators,Crash prevention for all strategies,VVIX is our best proxy. Should be a universal kill switch.
2026-04-04,VIX Crossing,Dual confirmation (VIX regime + trend confirmation) is better than single signals. The NDX EMA(21) filter in VIX Crossing adds real value.,Signal Design,Filter design for all strategies,Always layer confirmation signals. Single indicators are noisy.
2026-04-04,Ichimoku,Not all TradingView indicators are useful for 0DTE. Daily/weekly tools need fundamental rethinking for intraday options. Don't force-fit timeframes.,Timeframe Mismatch,Script evaluation process,When evaluating scripts designed for daily/swing check if the CONCEPT works intraday even if parameters don't.
2026-04-04,Hull Suite,Hull MA reduces lag compared to EMA/SMA while maintaining smoothness. The math: WMA(2*WMA(n/2)-WMA(n) sqrt(n)). Useful when lag kills 0DTE timing.,Indicator Math,MEDS and other EMA-based strategies,Test HMA as a direct EMA replacement where lag is causing late entries.
2026-04-04,VIX Rule of 16 + LastFive analysis,LastFive d=0 (ATM) at VIX<18 may be too aggressive. VIX/16 math shows expected 5-min move at 15:55 is ~6pts even at VIX=15. ATM with w=5 spread means expected move exceeds spread width.,Risk Discovery,LastFive strike selection,INVESTIGATE URGENTLY: ATM strikes with 5pt width may be mathematically under-protected. VIX16 suggests minimum d=10.
2026-04-04,VIX Curve Pro + Apex analysis,Apex d=12 gives ~2x expected 5-min move buffer at normal VIX. But at VIX=30 the expected 5-min move is ~15pts which breaches d=12. This is where Apex black swan hides.,Risk Discovery,Apex distance parameter,VIX-adaptive d would scale protection with vol. Currently fixed d has a vol-dependent failure mode.
2026-04-04,All VIX scripts + strategy review,Both Apex and LastFive enter at 15:55 — a shared universal pre-trade check module (contango + VVIX + WVF + range) should be built once and used by both.,Architecture,Apex + LastFive shared infra,DRY principle: one pre-check module for all 15:55 strategies. Reduces code duplication and ensures consistent risk management.
